whonet_code,organism_name,snomed_code,kingdom,genus,species
157,Escherichia coli,414100004,Bacteria,Escherichia,coli
157,Escherichia coli,116395006,Bacteria,Escherichia,coli
157,Escherichia coli,735270003,Bacteria,Escherichia,coli
157,Escherichia coli,116396007,Bacteria,Escherichia,coli
157,Escherichia coli,83285000,Bacteria,Escherichia,coli
157,Escherichia coli,116394005,Bacteria,Escherichia,coli
157,Escherichia coli,112283007,Bacteria,Escherichia,coli
157,Escherichia coli,710886005,Bacteria,Escherichia,coli
157,Escherichia coli,710887001,Bacteria,Escherichia,coli
157,Escherichia coli,710888006,Bacteria,Escherichia,coli
157,Escherichia coli,710889003,Bacteria,Escherichia,coli
157,Escherichia coli,414132004,Bacteria,Escherichia,coli
157,Escherichia coli,721892009,Bacteria,Escherichia,coli
157,Escherichia coli,416812001,Bacteria,Escherichia,coli
157,Escherichia coli,416740004,Bacteria,Escherichia,coli
157,Escherichia coli,417216001,Bacteria,Escherichia,coli
157,Escherichia coli,457541006,Bacteria,Escherichia,coli
157,Escherichia coli,710253004,Bacteria,Escherichia,coli
157,Escherichia coli,416530004,Bacteria,Escherichia,coli
157,Escherichia coli,417189006,Bacteria,Escherichia,coli
157,Escherichia coli,409800005,Bacteria,Escherichia,coli
157,Escherichia coli,713925008,Bacteria,Escherichia,coli
157,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
157,Escherichia coli,838549008,Bacteria,Escherichia,coli
1K1,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
1K1,Escherichia coli,715307006,Bacteria,Escherichia,coli
1K1,Escherichia coli,737528008,Bacteria,Escherichia,coli
1K1,Escherichia coli,416989002,Bacteria,Escherichia,coli
1K1,Escherichia coli,116397003,Bacteria,Escherichia,coli
1K1,Escherichia coli,414097009,Bacteria,Escherichia,coli
1K1,Escherichia coli,414098004,Bacteria,Escherichia,coli
1K1,Escherichia coli,414099007,Bacteria,Escherichia,coli
1K1,Escherichia coli,414100004,Bacteria,Escherichia,coli
1K1,Escherichia coli,116395006,Bacteria,Escherichia,coli
1K1,Escherichia coli,735270003,Bacteria,Escherichia,coli
1K1,Escherichia coli,116396007,Bacteria,Escherichia,coli
1K1,Escherichia coli,83285000,Bacteria,Escherichia,coli
1K1,Escherichia coli,116394005,Bacteria,Escherichia,coli
1K1,Escherichia coli,112283007,Bacteria,Escherichia,coli
1K1,Escherichia coli,710886005,Bacteria,Escherichia,coli
1K1,Escherichia coli,710887001,Bacteria,Escherichia,coli
1K1,Escherichia coli,710888006,Bacteria,Escherichia,coli
1K1,Escherichia coli,710889003,Bacteria,Escherichia,coli
1K1,Escherichia coli,414132004,Bacteria,Escherichia,coli
1K1,Escherichia coli,721892009,Bacteria,Escherichia,coli
1K1,Escherichia coli,416812001,Bacteria,Escherichia,coli
1K1,Escherichia coli,416740004,Bacteria,Escherichia,coli
1K1,Escherichia coli,417216001,Bacteria,Escherichia,coli
1K1,Escherichia coli,457541006,Bacteria,Escherichia,coli
1K1,Escherichia coli,710253004,Bacteria,Escherichia,coli
1K1,Escherichia coli,416530004,Bacteria,Escherichia,coli
1K1,Escherichia coli,417189006,Bacteria,Escherichia,coli
1K1,Escherichia coli,409800005,Bacteria,Escherichia,coli
1K1,Escherichia coli,713925008,Bacteria,Escherichia,coli
1K1,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
1K1,Escherichia coli,838549008,Bacteria,Escherichia,coli
2001,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2001,Escherichia coli,715307006,Bacteria,Escherichia,coli
2001,Escherichia coli,737528008,Bacteria,Escherichia,coli
2001,Escherichia coli,416989002,Bacteria,Escherichia,coli
2001,Escherichia coli,116397003,Bacteria,Escherichia,coli
2001,Escherichia coli,414097009,Bacteria,Escherichia,coli
2001,Escherichia coli,414098004,Bacteria,Escherichia,coli
2001,Escherichia coli,414099007,Bacteria,Escherichia,coli
2001,Escherichia coli,414100004,Bacteria,Escherichia,coli
2001,Escherichia coli,116395006,Bacteria,Escherichia,coli
2001,Escherichia coli,735270003,Bacteria,Escherichia,coli
2001,Escherichia coli,116396007,Bacteria,Escherichia,coli
2001,Escherichia coli,83285000,Bacteria,Escherichia,coli
2001,Escherichia coli,116394005,Bacteria,Escherichia,coli
2001,Escherichia coli,112283007,Bacteria,Escherichia,coli
2001,Escherichia coli,710886005,Bacteria,Escherichia,coli
2001,Escherichia coli,710887001,Bacteria,Escherichia,coli
2001,Escherichia coli,710888006,Bacteria,Escherichia,coli
2001,Escherichia coli,710889003,Bacteria,Escherichia,coli
2001,Escherichia coli,414132004,Bacteria,Escherichia,coli
2001,Escherichia coli,721892009,Bacteria,Escherichia,coli
2001,Escherichia coli,416812001,Bacteria,Escherichia,coli
2001,Escherichia coli,416740004,Bacteria,Escherichia,coli
2001,Escherichia coli,417216001,Bacteria,Escherichia,coli
2001,Escherichia coli,457541006,Bacteria,Escherichia,coli
2001,Escherichia coli,710253004,Bacteria,Escherichia,coli
2001,Escherichia coli,416530004,Bacteria,Escherichia,coli
2001,Escherichia coli,417189006,Bacteria,Escherichia,coli
2001,Escherichia coli,409800005,Bacteria,Escherichia,coli
2001,Escherichia coli,713925008,Bacteria,Escherichia,coli
2001,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2001,Escherichia coli,838549008,Bacteria,Escherichia,coli
2003,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2003,Escherichia coli,715307006,Bacteria,Escherichia,coli
2003,Escherichia coli,737528008,Bacteria,Escherichia,coli
2003,Escherichia coli,416989002,Bacteria,Escherichia,coli
2003,Escherichia coli,116397003,Bacteria,Escherichia,coli
2003,Escherichia coli,414097009,Bacteria,Escherichia,coli
2003,Escherichia coli,414098004,Bacteria,Escherichia,coli
2003,Escherichia coli,414099007,Bacteria,Escherichia,coli
2003,Escherichia coli,414100004,Bacteria,Escherichia,coli
2003,Escherichia coli,116395006,Bacteria,Escherichia,coli
2003,Escherichia coli,735270003,Bacteria,Escherichia,coli
2003,Escherichia coli,116396007,Bacteria,Escherichia,coli
2003,Escherichia coli,83285000,Bacteria,Escherichia,coli
2003,Escherichia coli,116394005,Bacteria,Escherichia,coli
2003,Escherichia coli,112283007,Bacteria,Escherichia,coli
2003,Escherichia coli,710886005,Bacteria,Escherichia,coli
2003,Escherichia coli,710887001,Bacteria,Escherichia,coli
2003,Escherichia coli,710888006,Bacteria,Escherichia,coli
2003,Escherichia coli,710889003,Bacteria,Escherichia,coli
2003,Escherichia coli,414132004,Bacteria,Escherichia,coli
2003,Escherichia coli,721892009,Bacteria,Escherichia,coli
2003,Escherichia coli,416812001,Bacteria,Escherichia,coli
2003,Escherichia coli,416740004,Bacteria,Escherichia,coli
2003,Escherichia coli,417216001,Bacteria,Escherichia,coli
2003,Escherichia coli,457541006,Bacteria,Escherichia,coli
2003,Escherichia coli,710253004,Bacteria,Escherichia,coli
2003,Escherichia coli,416530004,Bacteria,Escherichia,coli
2003,Escherichia coli,417189006,Bacteria,Escherichia,coli
2003,Escherichia coli,409800005,Bacteria,Escherichia,coli
2003,Escherichia coli,713925008,Bacteria,Escherichia,coli
2003,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2003,Escherichia coli,838549008,Bacteria,Escherichia,coli
2004,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2004,Escherichia coli,715307006,Bacteria,Escherichia,coli
2004,Escherichia coli,737528008,Bacteria,Escherichia,coli
2004,Escherichia coli,416989002,Bacteria,Escherichia,coli
2004,Escherichia coli,116397003,Bacteria,Escherichia,coli
2004,Escherichia coli,414097009,Bacteria,Escherichia,coli
2004,Escherichia coli,414098004,Bacteria,Escherichia,coli
2004,Escherichia coli,414099007,Bacteria,Escherichia,coli
2004,Escherichia coli,414100004,Bacteria,Escherichia,coli
2004,Escherichia coli,116395006,Bacteria,Escherichia,coli
2004,Escherichia coli,735270003,Bacteria,Escherichia,coli
2004,Escherichia coli,116396007,Bacteria,Escherichia,coli
2004,Escherichia coli,83285000,Bacteria,Escherichia,coli
2004,Escherichia coli,116394005,Bacteria,Escherichia,coli
2004,Escherichia coli,112283007,Bacteria,Escherichia,coli
2004,Escherichia coli,710886005,Bacteria,Escherichia,coli
2004,Escherichia coli,710887001,Bacteria,Escherichia,coli
2004,Escherichia coli,710888006,Bacteria,Escherichia,coli
2004,Escherichia coli,710889003,Bacteria,Escherichia,coli
2004,Escherichia coli,414132004,Bacteria,Escherichia,coli
2004,Escherichia coli,721892009,Bacteria,Escherichia,coli
2004,Escherichia coli,416812001,Bacteria,Escherichia,coli
2004,Escherichia coli,416740004,Bacteria,Escherichia,coli
2004,Escherichia coli,417216001,Bacteria,Escherichia,coli
2004,Escherichia coli,457541006,Bacteria,Escherichia,coli
2004,Escherichia coli,710253004,Bacteria,Escherichia,coli
2004,Escherichia coli,416530004,Bacteria,Escherichia,coli
2004,Escherichia coli,417189006,Bacteria,Escherichia,coli
2004,Escherichia coli,409800005,Bacteria,Escherichia,coli
2004,Escherichia coli,713925008,Bacteria,Escherichia,coli
2004,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2004,Escherichia coli,838549008,Bacteria,Escherichia,coli
2005,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2005,Escherichia coli,715307006,Bacteria,Escherichia,coli
2005,Escherichia coli,737528008,Bacteria,Escherichia,coli
2005,Escherichia coli,416989002,Bacteria,Escherichia,coli
2005,Escherichia coli,116397003,Bacteria,Escherichia,coli
2005,Escherichia coli,414097009,Bacteria,Escherichia,coli
2005,Escherichia coli,414098004,Bacteria,Escherichia,coli
2005,Escherichia coli,414099007,Bacteria,Escherichia,coli
2005,Escherichia coli,414100004,Bacteria,Escherichia,coli
2005,Escherichia coli,116395006,Bacteria,Escherichia,coli
2005,Escherichia coli,735270003,Bacteria,Escherichia,coli
2005,Escherichia coli,116396007,Bacteria,Escherichia,coli
2005,Escherichia coli,83285000,Bacteria,Escherichia,coli
2005,Escherichia coli,116394005,Bacteria,Escherichia,coli
2005,Escherichia coli,112283007,Bacteria,Escherichia,coli
2005,Escherichia coli,710886005,Bacteria,Escherichia,coli
2005,Escherichia coli,710887001,Bacteria,Escherichia,coli
2005,Escherichia coli,710888006,Bacteria,Escherichia,coli
2005,Escherichia coli,710889003,Bacteria,Escherichia,coli
2005,Escherichia coli,414132004,Bacteria,Escherichia,coli
2005,Escherichia coli,721892009,Bacteria,Escherichia,coli
2005,Escherichia coli,416812001,Bacteria,Escherichia,coli
2005,Escherichia coli,416740004,Bacteria,Escherichia,coli
2005,Escherichia coli,417216001,Bacteria,Escherichia,coli
2005,Escherichia coli,457541006,Bacteria,Escherichia,coli
2005,Escherichia coli,710253004,Bacteria,Escherichia,coli
2005,Escherichia coli,416530004,Bacteria,Escherichia,coli
2005,Escherichia coli,417189006,Bacteria,Escherichia,coli
2005,Escherichia coli,409800005,Bacteria,Escherichia,coli
2005,Escherichia coli,713925008,Bacteria,Escherichia,coli
2005,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2005,Escherichia coli,838549008,Bacteria,Escherichia,coli
2006,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2006,Escherichia coli,715307006,Bacteria,Escherichia,coli
2006,Escherichia coli,737528008,Bacteria,Escherichia,coli
2006,Escherichia coli,416989002,Bacteria,Escherichia,coli
2006,Escherichia coli,116397003,Bacteria,Escherichia,coli
2006,Escherichia coli,414097009,Bacteria,Escherichia,coli
2006,Escherichia coli,414098004,Bacteria,Escherichia,coli
2006,Escherichia coli,414099007,Bacteria,Escherichia,coli
2006,Escherichia coli,414100004,Bacteria,Escherichia,coli
2006,Escherichia coli,116395006,Bacteria,Escherichia,coli
2006,Escherichia coli,735270003,Bacteria,Escherichia,coli
2006,Escherichia coli,116396007,Bacteria,Escherichia,coli
2006,Escherichia coli,83285000,Bacteria,Escherichia,coli
2006,Escherichia coli,116394005,Bacteria,Escherichia,coli
2006,Escherichia coli,112283007,Bacteria,Escherichia,coli
2006,Escherichia coli,710886005,Bacteria,Escherichia,coli
2006,Escherichia coli,710887001,Bacteria,Escherichia,coli
2006,Escherichia coli,710888006,Bacteria,Escherichia,coli
2006,Escherichia coli,710889003,Bacteria,Escherichia,coli
2006,Escherichia coli,414132004,Bacteria,Escherichia,coli
2006,Escherichia coli,721892009,Bacteria,Escherichia,coli
2006,Escherichia coli,416812001,Bacteria,Escherichia,coli
2006,Escherichia coli,416740004,Bacteria,Escherichia,coli
2006,Escherichia coli,417216001,Bacteria,Escherichia,coli
2006,Escherichia coli,457541006,Bacteria,Escherichia,coli
2006,Escherichia coli,710253004,Bacteria,Escherichia,coli
2006,Escherichia coli,416530004,Bacteria,Escherichia,coli
2006,Escherichia coli,417189006,Bacteria,Escherichia,coli
2006,Escherichia coli,409800005,Bacteria,Escherichia,coli
2006,Escherichia coli,713925008,Bacteria,Escherichia,coli
2006,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2006,Escherichia coli,838549008,Bacteria,Escherichia,coli
2007,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2007,Escherichia coli,715307006,Bacteria,Escherichia,coli
2007,Escherichia coli,737528008,Bacteria,Escherichia,coli
2007,Escherichia coli,416989002,Bacteria,Escherichia,coli
2007,Escherichia coli,116397003,Bacteria,Escherichia,coli
2007,Escherichia coli,414097009,Bacteria,Escherichia,coli
2007,Escherichia coli,414098004,Bacteria,Escherichia,coli
2007,Escherichia coli,414099007,Bacteria,Escherichia,coli
2007,Escherichia coli,414100004,Bacteria,Escherichia,coli
2007,Escherichia coli,116395006,Bacteria,Escherichia,coli
2007,Escherichia coli,735270003,Bacteria,Escherichia,coli
2007,Escherichia coli,116396007,Bacteria,Escherichia,coli
2007,Escherichia coli,83285000,Bacteria,Escherichia,coli
2007,Escherichia coli,116394005,Bacteria,Escherichia,coli
2007,Escherichia coli,112283007,Bacteria,Escherichia,coli
2007,Escherichia coli,710886005,Bacteria,Escherichia,coli
2007,Escherichia coli,710887001,Bacteria,Escherichia,coli
2007,Escherichia coli,710888006,Bacteria,Escherichia,coli
2007,Escherichia coli,710889003,Bacteria,Escherichia,coli
2007,Escherichia coli,414132004,Bacteria,Escherichia,coli
2007,Escherichia coli,721892009,Bacteria,Escherichia,coli
2007,Escherichia coli,416812001,Bacteria,Escherichia,coli
2007,Escherichia coli,416740004,Bacteria,Escherichia,coli
2007,Escherichia coli,417216001,Bacteria,Escherichia,coli
2007,Escherichia coli,457541006,Bacteria,Escherichia,coli
2007,Escherichia coli,710253004,Bacteria,Escherichia,coli
2007,Escherichia coli,416530004,Bacteria,Escherichia,coli
2007,Escherichia coli,417189006,Bacteria,Escherichia,coli
2007,Escherichia coli,409800005,Bacteria,Escherichia,coli
2007,Escherichia coli,713925008,Bacteria,Escherichia,coli
2007,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2007,Escherichia coli,838549008,Bacteria,Escherichia,coli
2K2,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
2K2,Escherichia coli,715307006,Bacteria,Escherichia,coli
2K2,Escherichia coli,737528008,Bacteria,Escherichia,coli
2K2,Escherichia coli,416989002,Bacteria,Escherichia,coli
2K2,Escherichia coli,116397003,Bacteria,Escherichia,coli
2K2,Escherichia coli,414097009,Bacteria,Escherichia,coli
2K2,Escherichia coli,414098004,Bacteria,Escherichia,coli
2K2,Escherichia coli,414099007,Bacteria,Escherichia,coli
2K2,Escherichia coli,414100004,Bacteria,Escherichia,coli
2K2,Escherichia coli,116395006,Bacteria,Escherichia,coli
2K2,Escherichia coli,735270003,Bacteria,Escherichia,coli
2K2,Escherichia coli,116396007,Bacteria,Escherichia,coli
2K2,Escherichia coli,83285000,Bacteria,Escherichia,coli
2K2,Escherichia coli,116394005,Bacteria,Escherichia,coli
2K2,Escherichia coli,112283007,Bacteria,Escherichia,coli
2K2,Escherichia coli,710886005,Bacteria,Escherichia,coli
2K2,Escherichia coli,710887001,Bacteria,Escherichia,coli
2K2,Escherichia coli,710888006,Bacteria,Escherichia,coli
2K2,Escherichia coli,710889003,Bacteria,Escherichia,coli
2K2,Escherichia coli,414132004,Bacteria,Escherichia,coli
2K2,Escherichia coli,721892009,Bacteria,Escherichia,coli
2K2,Escherichia coli,416812001,Bacteria,Escherichia,coli
2K2,Escherichia coli,416740004,Bacteria,Escherichia,coli
2K2,Escherichia coli,417216001,Bacteria,Escherichia,coli
2K2,Escherichia coli,457541006,Bacteria,Escherichia,coli
2K2,Escherichia coli,710253004,Bacteria,Escherichia,coli
2K2,Escherichia coli,416530004,Bacteria,Escherichia,coli
2K2,Escherichia coli,417189006,Bacteria,Escherichia,coli
2K2,Escherichia coli,409800005,Bacteria,Escherichia,coli
2K2,Escherichia coli,713925008,Bacteria,Escherichia,coli
2K2,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
2K2,Escherichia coli,838549008,Bacteria,Escherichia,coli
788,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
788,Escherichia coli,715307006,Bacteria,Escherichia,coli
788,Escherichia coli,737528008,Bacteria,Escherichia,coli
788,Escherichia coli,416989002,Bacteria,Escherichia,coli
788,Escherichia coli,116397003,Bacteria,Escherichia,coli
788,Escherichia coli,414097009,Bacteria,Escherichia,coli
788,Escherichia coli,414098004,Bacteria,Escherichia,coli
788,Escherichia coli,414099007,Bacteria,Escherichia,coli
788,Escherichia coli,414100004,Bacteria,Escherichia,coli
788,Escherichia coli,116395006,Bacteria,Escherichia,coli
788,Escherichia coli,735270003,Bacteria,Escherichia,coli
788,Escherichia coli,116396007,Bacteria,Escherichia,coli
788,Escherichia coli,83285000,Bacteria,Escherichia,coli
788,Escherichia coli,116394005,Bacteria,Escherichia,coli
788,Escherichia coli,112283007,Bacteria,Escherichia,coli
788,Escherichia coli,710886005,Bacteria,Escherichia,coli
788,Escherichia coli,710887001,Bacteria,Escherichia,coli
788,Escherichia coli,710888006,Bacteria,Escherichia,coli
788,Escherichia coli,710889003,Bacteria,Escherichia,coli
788,Escherichia coli,414132004,Bacteria,Escherichia,coli
788,Escherichia coli,721892009,Bacteria,Escherichia,coli
788,Escherichia coli,416812001,Bacteria,Escherichia,coli
788,Escherichia coli,416740004,Bacteria,Escherichia,coli
788,Escherichia coli,417216001,Bacteria,Escherichia,coli
788,Escherichia coli,457541006,Bacteria,Escherichia,coli
788,Escherichia coli,710253004,Bacteria,Escherichia,coli
788,Escherichia coli,416530004,Bacteria,Escherichia,coli
788,Escherichia coli,417189006,Bacteria,Escherichia,coli
788,Escherichia coli,409800005,Bacteria,Escherichia,coli
788,Escherichia coli,713925008,Bacteria,Escherichia,coli
788,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
788,Escherichia coli,838549008,Bacteria,Escherichia,coli
AEE,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
AEE,Escherichia coli,715307006,Bacteria,Escherichia,coli
AEE,Escherichia coli,737528008,Bacteria,Escherichia,coli
AEE,Escherichia coli,416989002,Bacteria,Escherichia,coli
AEE,Escherichia coli,116397003,Bacteria,Escherichia,coli
AEE,Escherichia coli,414097009,Bacteria,Escherichia,coli
AEE,Escherichia coli,414098004,Bacteria,Escherichia,coli
AEE,Escherichia coli,414099007,Bacteria,Escherichia,coli
AEE,Escherichia coli,414100004,Bacteria,Escherichia,coli
AEE,Escherichia coli,116395006,Bacteria,Escherichia,coli
AEE,Escherichia coli,735270003,Bacteria,Escherichia,coli
AEE,Escherichia coli,116396007,Bacteria,Escherichia,coli
AEE,Escherichia coli,83285000,Bacteria,Escherichia,coli
AEE,Escherichia coli,116394005,Bacteria,Escherichia,coli
AEE,Escherichia coli,112283007,Bacteria,Escherichia,coli
AEE,Escherichia coli,710886005,Bacteria,Escherichia,coli
AEE,Escherichia coli,710887001,Bacteria,Escherichia,coli
AEE,Escherichia coli,710888006,Bacteria,Escherichia,coli
AEE,Escherichia coli,710889003,Bacteria,Escherichia,coli
AEE,Escherichia coli,414132004,Bacteria,Escherichia,coli
AEE,Escherichia coli,721892009,Bacteria,Escherichia,coli
AEE,Escherichia coli,416812001,Bacteria,Escherichia,coli
AEE,Escherichia coli,416740004,Bacteria,Escherichia,coli
AEE,Escherichia coli,417216001,Bacteria,Escherichia,coli
AEE,Escherichia coli,457541006,Bacteria,Escherichia,coli
AEE,Escherichia coli,710253004,Bacteria,Escherichia,coli
AEE,Escherichia coli,416530004,Bacteria,Escherichia,coli
AEE,Escherichia coli,417189006,Bacteria,Escherichia,coli
AEE,Escherichia coli,409800005,Bacteria,Escherichia,coli
AEE,Escherichia coli,713925008,Bacteria,Escherichia,coli
AEE,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
AEE,Escherichia coli,838549008,Bacteria,Escherichia,coli
AIEC,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
AIEC,Escherichia coli,715307006,Bacteria,Escherichia,coli
AIEC,Escherichia coli,737528008,Bacteria,Escherichia,coli
AIEC,Escherichia coli,416989002,Bacteria,Escherichia,coli
AIEC,Escherichia coli,116397003,Bacteria,Escherichia,coli
AIEC,Escherichia coli,414097009,Bacteria,Escherichia,coli
AIEC,Escherichia coli,414098004,Bacteria,Escherichia,coli
AIEC,Escherichia coli,414099007,Bacteria,Escherichia,coli
AIEC,Escherichia coli,414100004,Bacteria,Escherichia,coli
AIEC,Escherichia coli,116395006,Bacteria,Escherichia,coli
AIEC,Escherichia coli,735270003,Bacteria,Escherichia,coli
AIEC,Escherichia coli,116396007,Bacteria,Escherichia,coli
AIEC,Escherichia coli,83285000,Bacteria,Escherichia,coli
AIEC,Escherichia coli,116394005,Bacteria,Escherichia,coli
AIEC,Escherichia coli,112283007,Bacteria,Escherichia,coli
AIEC,Escherichia coli,710886005,Bacteria,Escherichia,coli
AIEC,Escherichia coli,710887001,Bacteria,Escherichia,coli
AIEC,Escherichia coli,710888006,Bacteria,Escherichia,coli
AIEC,Escherichia coli,710889003,Bacteria,Escherichia,coli
AIEC,Escherichia coli,414132004,Bacteria,Escherichia,coli
AIEC,Escherichia coli,721892009,Bacteria,Escherichia,coli
AIEC,Escherichia coli,416812001,Bacteria,Escherichia,coli
AIEC,Escherichia coli,416740004,Bacteria,Escherichia,coli
AIEC,Escherichia coli,417216001,Bacteria,Escherichia,coli
AIEC,Escherichia coli,457541006,Bacteria,Escherichia,coli
AIEC,Escherichia coli,710253004,Bacteria,Escherichia,coli
AIEC,Escherichia coli,416530004,Bacteria,Escherichia,coli
AIEC,Escherichia coli,417189006,Bacteria,Escherichia,coli
AIEC,Escherichia coli,409800005,Bacteria,Escherichia,coli
AIEC,Escherichia coli,713925008,Bacteria,Escherichia,coli
AIEC,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
AIEC,Escherichia coli,838549008,Bacteria,Escherichia,coli
ATEC,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
ATEC,Escherichia coli,715307006,Bacteria,Escherichia,coli
ATEC,Escherichia coli,737528008,Bacteria,Escherichia,coli
ATEC,Escherichia coli,416989002,Bacteria,Escherichia,coli
ATEC,Escherichia coli,116397003,Bacteria,Escherichia,coli
ATEC,Escherichia coli,414097009,Bacteria,Escherichia,coli
ATEC,Escherichia coli,414098004,Bacteria,Escherichia,coli
ATEC,Escherichia coli,414099007,Bacteria,Escherichia,coli
ATEC,Escherichia coli,414100004,Bacteria,Escherichia,coli
ATEC,Escherichia coli,116395006,Bacteria,Escherichia,coli
ATEC,Escherichia coli,735270003,Bacteria,Escherichia,coli
ATEC,Escherichia coli,116396007,Bacteria,Escherichia,coli
ATEC,Escherichia coli,83285000,Bacteria,Escherichia,coli
ATEC,Escherichia coli,116394005,Bacteria,Escherichia,coli
ATEC,Escherichia coli,112283007,Bacteria,Escherichia,coli
ATEC,Escherichia coli,710886005,Bacteria,Escherichia,coli
ATEC,Escherichia coli,710887001,Bacteria,Escherichia,coli
ATEC,Escherichia coli,710888006,Bacteria,Escherichia,coli
ATEC,Escherichia coli,710889003,Bacteria,Escherichia,coli
ATEC,Escherichia coli,414132004,Bacteria,Escherichia,coli
ATEC,Escherichia coli,721892009,Bacteria,Escherichia,coli
ATEC,Escherichia coli,416812001,Bacteria,Escherichia,coli
ATEC,Escherichia coli,416740004,Bacteria,Escherichia,coli
ATEC,Escherichia coli,417216001,Bacteria,Escherichia,coli
ATEC,Escherichia coli,457541006,Bacteria,Escherichia,coli
ATEC,Escherichia coli,710253004,Bacteria,Escherichia,coli
ATEC,Escherichia coli,416530004,Bacteria,Escherichia,coli
ATEC,Escherichia coli,417189006,Bacteria,Escherichia,coli
ATEC,Escherichia coli,409800005,Bacteria,Escherichia,coli
ATEC,Escherichia coli,713925008,Bacteria,Escherichia,coli
ATEC,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
ATEC,Escherichia coli,838549008,Bacteria,Escherichia,coli
DAEC,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
DAEC,Escherichia coli,715307006,Bacteria,Escherichia,coli
DAEC,Escherichia coli,737528008,Bacteria,Escherichia,coli
DAEC,Escherichia coli,416989002,Bacteria,Escherichia,coli
DAEC,Escherichia coli,116397003,Bacteria,Escherichia,coli
DAEC,Escherichia coli,414097009,Bacteria,Escherichia,coli
DAEC,Escherichia coli,414098004,Bacteria,Escherichia,coli
DAEC,Escherichia coli,414099007,Bacteria,Escherichia,coli
DAEC,Escherichia coli,414100004,Bacteria,Escherichia,coli
DAEC,Escherichia coli,116395006,Bacteria,Escherichia,coli
DAEC,Escherichia coli,735270003,Bacteria,Escherichia,coli
DAEC,Escherichia coli,116396007,Bacteria,Escherichia,coli
DAEC,Escherichia coli,83285000,Bacteria,Escherichia,coli
DAEC,Escherichia coli,116394005,Bacteria,Escherichia,coli
DAEC,Escherichia coli,112283007,Bacteria,Escherichia,coli
DAEC,Escherichia coli,710886005,Bacteria,Escherichia,coli
DAEC,Escherichia coli,710887001,Bacteria,Escherichia,coli
DAEC,Escherichia coli,710888006,Bacteria,Escherichia,coli
DAEC,Escherichia coli,710889003,Bacteria,Escherichia,coli
DAEC,Escherichia coli,414132004,Bacteria,Escherichia,coli
DAEC,Escherichia coli,721892009,Bacteria,Escherichia,coli
DAEC,Escherichia coli,416812001,Bacteria,Escherichia,coli
DAEC,Escherichia coli,416740004,Bacteria,Escherichia,coli
DAEC,Escherichia coli,417216001,Bacteria,Escherichia,coli
DAEC,Escherichia coli,457541006,Bacteria,Escherichia,coli
DAEC,Escherichia coli,710253004,Bacteria,Escherichia,coli
DAEC,Escherichia coli,416530004,Bacteria,Escherichia,coli
DAEC,Escherichia coli,417189006,Bacteria,Escherichia,coli
DAEC,Escherichia coli,409800005,Bacteria,Escherichia,coli
DAEC,Escherichia coli,713925008,Bacteria,Escherichia,coli
DAEC,Escherichia coli,444771000124108,Bacteria,Escherichia,coli
DAEC,Escherichia coli,838549008,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,1095001000112106,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,715307006,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,737528008,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,416989002,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,116397003,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,414097009,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,414098004,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,414099007,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,414100004,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,116395006,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,735270003,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,116396007,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,83285000,Bacteria,Escherichia,coli
E.BETA,Escherichia coli,116394005,Bacteria,Escherichia,coli
