whonet_code,organism_name,snomed_code,kingdom,genus,species
A10.SP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
A10.SP,Acinetobacter,816084004,Bacteria,Acinetobacter,
A10.SP,Acinetobacter,7757008,Bacteria,Acinetobacter,
A10.SP,Acinetobacter,446157004,Bacteria,Acinetobacter,
A10.SP,Acinetobacter,719032005,Bacteria,Acinetobacter,
AANSPP,Acinetobacter,719027009,Bacteria,Acinetobacter,
AANSPP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
AANSPP,Acinetobacter,816084004,Bacteria,Acinetobacter,
AANSPP,Acinetobacter,7757008,Bacteria,Acinetobacter,
AANSPP,Acinetobacter,446157004,Bacteria,Acinetobacter,
AANSPP,Acinetobacter,719032005,Bacteria,Acinetobacter,
AC-,Acinetobacter,719027009,Bacteria,Acinetobacter,
AC-,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
AC-,Acinetobacter,816084004,Bacteria,Acinetobacter,
AC-,Acinetobacter,7757008,Bacteria,Acinetobacter,
AC-,Acinetobacter,446157004,Bacteria,Acinetobacter,
AC-,Acinetobacter,719032005,Bacteria,Acinetobacter,
AC3.SP,Acinetobacter,719027009,Bacteria,Acinetobacter,
AC3.SP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
AC3.SP,Acinetobacter,816084004,Bacteria,Acinetobacter,
AC3.SP,Acinetobacter,7757008,Bacteria,Acinetobacter,
AC3.SP,Acinetobacter,446157004,Bacteria,Acinetobacter,
AC3.SP,Acinetobacter,719032005,Bacteria,Acinetobacter,
AC6.SP,Acinetobacter,719027009,Bacteria,Acinetobacter,
AC6.SP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
AC6.SP,Acinetobacter,816084004,Bacteria,Acinetobacter,
AC6.SP,Acinetobacter,7757008,Bacteria,Acinetobacter,
AC6.SP,Acinetobacter,446157004,Bacteria,Acinetobacter,
AC6.SP,Acinetobacter,719032005,Bacteria,Acinetobacter,
AC9.SP,Acinetobacter,719027009,Bacteria,Acinetobacter,
AC9.SP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
AC9.SP,Acinetobacter,816084004,Bacteria,Acinetobacter,
AC9.SP,Acinetobacter,7757008,Bacteria,Acinetobacter,
AC9.SP,Acinetobacter,446157004,Bacteria,Acinetobacter,
AC9.SP,Acinetobacter,719032005,Bacteria,Acinetobacter,
ACI,Acinetobacter,719027009,Bacteria,Acinetobacter,
ACI,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
ACI,Acinetobacter,816084004,Bacteria,Acinetobacter,
ACI,Acinetobacter,7757008,Bacteria,Acinetobacter,
ACI,Acinetobacter,446157004,Bacteria,Acinetobacter,
ACI,Acinetobacter,719032005,Bacteria,Acinetobacter,
ACI.SP,Acinetobacter,719027009,Bacteria,Acinetobacter,
ACI.SP,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
ACI.SP,Acinetobacter,816084004,Bacteria,Acinetobacter,
ACI.SP,Acinetobacter,7757008,Bacteria,Acinetobacter,
ACI.SP,Acinetobacter,446157004,Bacteria,Acinetobacter,
ACI.SP,Acinetobacter,719032005,Bacteria,Acinetobacter,
ACIBCC,Acinetobacter,719027009,Bacteria,Acinetobacter,
ACIBCC,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
ACIBCC,Acinetobacter,816084004,Bacteria,Acinetobacter,
ACIBCC,Acinetobacter,7757008,Bacteria,Acinetobacter,
ACIBCC,Acinetobacter,446157004,Bacteria,Acinetobacter,
ACIBCC,Acinetobacter,719032005,Bacteria,Acinetobacter,
ACIGUI,Acinetobacter,719027009,Bacteria,Acinetobacter,
ACIGUI,Acinetobacter,1085501000112104,Bacteria,Acinetobacter,
ACIGUI,Acinetobacter,816084004,Bacteria,Acinetobacter,
ACIGUI,Acinetobacter,7757008,Bacteria,Acinetobacter,
