organism,snomed_code,display_name
Staphylococcus capitis,40347003,Staphylococcus capitis
Staphylococcus chromogenes,56629004,Staphylococcus chromogenes
Staphylococcus cohnii subsp. cohnii,,
Staphylococcus epidermidis,60875001,Staphylococcus epidermidis
Staphylococcus gallinarum,8056006,Staphylococcus gallinarum
Staphylococcus haemolyticus,83452006,Staphylococcus haemolyticus
Staphylococcus hominis subsp. hominis,,
Staphylococcus lentus,40253001,Mammaliicoccus lentus
Staphylococcus pseudintermedius,427316000,Staphylococcus pseudintermedius
Staphylococcus sciuri,70806002,Mammaliicoccus sciuri
Staphylococcus warneri,63550006,Staphylococcus warneri
Stenotrophomonas maltophilia,113697002,Stenotrophomonas maltophilia
Streptococcus agalactiae,43492007,Group B streptococcus
Streptococcus alactolyticus,34228005,Streptococcus alactolyticus
Streptococcus anginosus,44304009,Streptococcus anginosus
Streptococcus constellatus subsp. pharyngis,,
Streptococcus gallolyticus subsp. pasteurianus,421253004,Streptococcus gallolyticus subspecies pasteurianus
Streptococcus infantarius subsp. coli,,
Streptococcus iniae,79050007,Streptococcus iniae
Streptococcus intermedius,62170002,Streptococcus intermedius
Streptococcus mitis/Streptococcus oralis,,
Streptococcus mutans,214001,Streptococcus mutans
Streptococcus parasanguinis,113990002,Streptococcus parasanguinis
Streptococcus pluranimalium,438187002,Streptococcus pluranimalium
Streptococcus pneumoniae,9861002,Streptococcus pneumoniae
Streptococcus porcinus,59512008,Streptococcus porcinus
Streptococcus pseudoporcinus,429189003,Streptococcus pseudoporcinus
Streptococcus salivarius subsp. salivarius,84684000,Streptococcus salivarius subsp. salivarius
Streptococcus sanguinis,113993000,Streptococcus sanguinis
Streptococcus suis,7912006,Streptococcus suis
Streptococcus thermophilus,23310006,Streptococcus salivarius subsp. thermophilus
Streptococcus thoraltensis,113997004,Streptococcus thoraltensis
Streptococcus uberis,13250005,Streptococcus uberis
Streptococcus vestibularis,113998009,Streptococcus vestibularis
Vagococcus fluviali,,
Vibrio fluvialis,43199008,Vibrio fluvialis
Vibrio parahaemolyticus,11736008,Vibrio parahaemolyticus
Vibrio vulnificus,55905000,Vibrio vulnificus
Yersinia enterocolitica/Yersinia frederiksenii,,
Yersinia kristensenii,91042006,Yersinia kristensenii
